"Auto Correct Onsite Search - Phrase (eVar) (evar103)","Onsite Search - Phrase without Campaign (eVar) (evar89)","Auto Correct Onsite Search - Phrase (eVar) Instance (Instance of evar103)"
"%0203","%a203",1
"(aa batterien)","altbatterien",2
"(abdeck folie)","abdeckkfolie",1
"(abdeck kappe)","abdeckekappe",1
"(abdeck leiste)\\ 113","abdeckleiste 113",1
"(abdeck leiste)\\ alu","abdeckleiste alu",10
"(abdeck leiste)\\ aus\\ mdf","abdeckleiste aus mdf",2
"(abdeck leiste)\\ das\\ öl","abdeckleiste das öl",2
"(abdeck leiste)\\ dsslm\\\\\\-1","abdeckleiste dsslm-1",1
"(abdeck leiste)\\ lm\\ 1","abdeckleiste lm 1",1
"(abdeck leiste)\\ sauber","abdeckenleiste silber",1
"(abdeck leisten)","abdeckkleisten",1
"(abdeck leisten)","abdecksleisten",5
"(abdeck leisten)\\ 35\\ mm","abdeckleisten 35 mm",1
"(abdeck leisten)\\ holz","abdeckleisten holz",1
"(abdeck leisten)\\ kunststoff","abdeckleisten kunstoff",5
"(abfluss dusche)","abflusdusche",2
"(ablauf adapter)\\ 150\\ 120","abluftadapter 150 120",2
"(ablauf adapter)\\ 150\\ 125","abluftadapter 150 125",1
"(abschluss leiste)","abschlusssleiste",7
"(abschluss leiste)\\ 2300","abschlussleiste 23mm",1
"(abschluss leiste)\\ alu","abschlussleiste alu",14
"(abschluss leiste)\\ dach","abschlussleiste dach",18
"(abschluss leiste)\\ fliese","abschlussleiste fließe",1
"(abschluss leiste)\\ kleber","abschlussleiste klebe",1
"(abschluss leiste)\\ ku050","abschlussleiste ku050",1
"(abschluss leiste)\\ parkett","abschlussleiste pakett",1
"(abschluss leiste)\\ putz","abschlussleiste putz",1
"(abschluss leiste)\\ treppe","abschlussleiste treppe",5
"(abschluss leiste)\\ wand","abschlussleiste band",5
"(absperr pfosten)\\ 76","absperrpfosten 76",3
"(abus türspion)","abostürspion",1
"(abus überfalle)","abusüberfall",2
"(abzweig dose)","abzweickdose",3
"(abzweig dose)","abzweigddose",4
"(abzweig dose)","abzweigddosen",2
"(abzweig dose)","abzweigerdose",1
"(abzweig dose)","abzweigkdose",1
"(acryl farbe)","acrylcfarbe",1
"(acryl farbe)","actyllfarbe",3
"(acryl farbe)\\ weiße","acrylafarbe weiss",1
"(admiral badheizkörper)","admiralbadheizkörper",1
"(akku bohrer)","akkubobohrer",1
"(akku bohrer)\\ farben","akkubohrer frauen",1
"(akku bohrer)\\ se","akkubohrer se",1
"(akku bohrer)\\ set","akkubohrer set",8
"(akku bohrschrauber)","akkubbohrschrauber",1
"(akku pack)\\ 12v\\ 2100mah","akkupack 12v 2100mah",1
"(akku schlagschrauber)","akusschlagschrauber",5
"(all grund)\\ acrylic\\ holz","allgrund acryl holz",1
"(altstadt pflaster)","altstathpflaster",3
"(alu leiste)","alulleiste",2
"(alu leiste)","alusleiste",5
"(alu leisten)\\ vinylboden","abußleisten vinylboden",1
"(alu leiter)","alulleiter",5
"(alu leiter)\\ stabilomat","alulleiter stabilomat",1
"(alu profil)","alunprofil",3
"(alu profile)","alurprofile",2
"(alu profile).\\ t","aluprofile. t",1
"(alu profile)\\ 2000","aluprofile 2040",1
"(alu profile)\\ 2000x50mm","aluprofile 2000x50mm",2
"(alu profile)\\ 40x40mm","aluprofile 40x40mm",1
"(alu profile)\\ 4\\ kanu","aluprofile 4 kant",3
"(alu profile)\\ 4\\ m","aluprofile 4 m",1
"(alu profile)\\ 5000","aluprofile 50mm",1
"(alu profile)\\ 75x25mm","aluprofile 75x25mm",2
"(alu profile)\\ c","aluprofile  c",1
"(alu profile)\\ c","aluprofile c",7
"(alu profile)\\ c\\ profil","aluprofile c profile",1
"(alu profile)\\ flachstange","aluprofile flachstange",2
"(alu profile)\\ holz","aluprofile hohl",1
"(alu profile)\\ i\\\\\\-tape","aluprofile i-type",2
"(alu profile)\\ led\\ leiste","aluprofile led leiste",2
"(alu profile)\\ lprofil","aluprofile uprofil",12
"(alu profile)\\ lprofile","aluprofile uprofile",1
"(alu profile)\\ paulmann","aluprofile paulmann",1
"(alu profile)\\ rand","aluprofile rund",8
"(alu profile)\\ rechteck","aluprofile rechteck",2
"(alu profile)\\ rechteckrohr","aluprofile rechteckrohr",5
"(alu profile)\\ rechtwinklig","aluprofile rechtwinklig",1
"(alu profile)\\ rohr","aluprofile rohr",4
